Wall time,Step,Value
1713283124.0163834,7272,-23.639997482299805
1713283143.7462175,8000,-23.200000762939453
1713283163.4746134,8727,-16.579999923706055
1713283259.142463,12363,-14.659998893737793
1713283337.7277815,15272,-9.460000991821289
1713283357.6392107,16000,-21.479999542236328
1713283395.247987,17454,-11.179999351501465
1713283413.939757,18181,0.6200008392333984
1713283432.694778,18909,-14.24000072479248
1713283451.577218,19636,-21.220001220703125
1713283470.589262,20363,-23.26000213623047
1713283508.501809,21818,-14.84000015258789
1713283546.0815358,23272,-20.580001831054688
1713283564.474492,24000,-6.14000129699707
1713283580.6626756,24727,-9.559999465942383
1713283599.838315,25454,-18.520002365112305
1713283674.2455602,28363,-5.1399993896484375
1713283693.2738132,29090,-20.079998016357422
1713283711.9843686,29818,-7.560001373291016
1713283731.0421274,30545,-21.579998016357422
1713283749.9031456,31272,-17.899998664855957
1713283803.9114292,33454,1.5399999618530273
1713283879.8595448,36363,-21.479999542236328
1713283917.7848022,37818,-16.52000141143799
1713283936.4203231,38545,-14.939998626708984
1713283974.3555236,40000,-13.720001220703125
1713283990.8273625,40727,-20.84000015258789
1713284028.4538908,42181,-18.89999771118164
1713284047.0015268,42909,-21.479999542236328
1713284065.6093867,43636,-21.46000099182129
1713284103.4770665,45090,-17.920000076293945
1713284141.4768581,46545,-26.55999755859375
1713284176.6718638,48000,-18.17999839782715
1713284195.5363164,48727,-16.35999870300293
1713284214.2561405,49454,-19.420000076293945
1713284251.914419,50909,-23.200000762939453
1713284270.7648716,51636,-19.860002517700195
1713284289.725681,52363,-5.219999313354492
1713284308.6867783,53090,-5.939998626708984
1713284327.5911639,53818,-9.279999732971191
1713284365.254535,55272,-20.10000228881836
1713284382.1367335,56000,-20.68000030517578
1713284401.0314305,56727,-22.48000144958496
1713284419.667922,57454,-16.47999858856201
1713284438.6771536,58181,-21.499998092651367
1713284457.3478887,58909,-5.800000190734863
1713284476.2664797,59636,-16.35999870300293
1713284531.601004,61818,-19.240001678466797
1713284550.363461,62545,-22.459997177124023
1713284569.448464,63272,-8.219999313354492
1713284585.9338214,64000,-20.600000381469727
1713284641.7779677,66181,-20.600000381469727
1713284698.599217,68363,-21.840002059936523
1713284717.435737,69090,-23.139999389648438
1713284736.518029,69818,-15.620000839233398
1713284771.6308794,71272,-19.899999618530273
1713284790.0815012,72000,-9.15999984741211
1713284808.5977328,72727,-6.020001411437988
1713284827.3221729,73454,-14.059999465942383
1713284864.7057073,74909,-13.19999885559082
1713284902.4924433,76363,-18.840002059936523
1713284940.6973357,77818,-12.540000915527344
1713284976.1555254,79272,-14.5600004196167
1713285013.790177,80727,-18.339998245239258
1713285032.826782,81454,5.000000953674316
1713285071.2950137,82909,-17.040000915527344
1713285090.1719062,83636,-17.019999504089355
1713285109.3165247,84363,-10.180000305175781
1713285128.2710798,85090,-4.979999542236328
1713285146.6333287,85818,-3.6399993896484375
1713285181.539976,87272,-1.720001220703125
1713285200.4221056,88000,-5.440000534057617
1713285219.4416852,88727,-13.0600004196167
1713285276.1425436,90909,-23.360000610351562
1713285313.5947351,92363,-17.040000915527344
1713285332.4207723,93090,-13.279998779296875
1713285366.9501352,94545,-11.379999160766602
1713285385.3524883,95272,-32.619998931884766
1713285403.7281559,96000,11.280000686645508
1713285422.345759,96727,2.200000762939453
1713285440.8501415,97454,-7.140000343322754
1713285459.5644374,98181,-14.160000801086426
1713285497.546402,99636,-23.53999900817871
1713285516.357349,100363,-11.339999198913574
1713285554.1522365,101818,-12.039999961853027
1713285570.5169544,102545,-10.460000038146973
1713285589.3589156,103272,-10.979999542236328
1713285608.4782379,104000,-14.880000114440918
1713285646.283838,105454,-15.940000534057617
1713285703.0225413,107636,-21.060001373291016
1713285721.8976,108363,-21.780000686645508
1713285740.9497488,109090,-10.079998970031738
1713285759.7717237,109818,-6.159999847412109
1713285795.1123328,111272,-11.600000381469727
1713285814.0839787,112000,-19.65999984741211
1713285832.879915,112727,-8.520000457763672
1713285852.1731923,113454,-10.920001029968262
1713285890.2075448,114909,-12.199999809265137
1713285908.9512148,115636,-13.279998779296875
1713286000.795884,119272,-8.019999504089355
1713286038.286317,120727,-5.979998588562012
1713286057.3173175,121454,-12.199999809265137
1713286113.9308815,123636,-13.619999885559082
1713286132.7237473,124363,-19.739999771118164
1713286151.7858903,125090,-18.479999542236328
1713286187.6579173,126545,-13.779999732971191
1713286206.527416,127272,-19.279998779296875
1713286225.1455684,128000,-1.1199989318847656
1713286243.487617,128727,-12.959999084472656
1713286262.8978083,129454,-6.940000534057617
1713286282.2516985,130181,-0.4799995422363281
1713286300.7460086,130909,-6.90000057220459
1713286320.2756605,131636,-2.779998779296875
1713286358.2093701,133090,-5.459999084472656
1713286374.7799723,133818,-18.60000228881836
1713286412.7946625,135272,-20.180002212524414
1713286431.614677,136000,-20.459999084472656
1713286507.8628988,138909,-10.34000015258789
1713286526.9384477,139636,-23.619998931884766
1713286546.071684,140363,-20.799997329711914
1713286563.074381,141090,-21.700000762939453
1713286581.8397534,141818,-16.300000190734863
1713286600.9981906,142545,-18.6200008392334
1713286676.6095502,145454,-2.1200008392333984
1713286695.3455331,146181,-11.40000057220459
1713286714.0293264,146909,-2.059999465942383
1713286732.6467764,147636,6.399999618530273
1713286751.2235856,148363,-17.960000038146973
1713286767.8178463,149090,-6.700000762939453
1713286805.3287299,150545,-26.779998779296875
1713286823.9609053,151272,-4.5
1713286842.8751214,152000,-4.859999656677246
1713286861.7488291,152727,-14.899998664855957
1713286880.6512249,153454,-17.84000015258789
1713286899.6641273,154181,-8.360000610351562
1713286937.6240056,155636,-13.880001068115234
1713286956.5659938,156363,-14.480000495910645
1713286973.1232266,157090,-14.000000953674316
1713286992.032551,157818,-7.039999008178711
1713287011.085873,158545,-12.559999465942383
1713287049.130992,160000,-17.160000801086426
1713287105.991633,162181,-19.5
1713287144.250059,163636,-14.059999465942383
1713287160.9156818,164363,-30.76000213623047
1713287179.9224138,165090,-3.679999351501465
1713287198.9890995,165818,-2.9799985885620117
1713287218.238347,166545,-20.84000015258789
1713287294.0544457,169454,-23.55999755859375
1713287312.740573,170181,-8.459999084472656
1713287350.5825868,171636,-11.379999160766602
1713287386.223584,173090,-14.379999160766602
1713287405.20504,173818,-13.5
1713287424.1860352,174545,-22.62000274658203
1713287443.0669596,175272,-17.08000087738037
1713287462.0593724,176000,-14.619998931884766
1713287499.2186248,177454,14.980000019073486
1713287518.2621553,178181,-6.159999847412109
1713287537.2284575,178909,-16.300000190734863
1713287572.424453,180363,-6.100001335144043
1713287591.0140586,181090,-7.5
1713287609.908667,181818,-11.040000915527344
1713287628.9446192,182545,-15.799999237060547
1713287666.3403194,184000,-9.039999961853027
1713287685.1618834,184727,-14.000000953674316
1713287723.3712385,186181,-9.860000610351562
1713287742.306975,186909,-9.719999313354492
1713287758.5158482,187636,0.9800004959106445
1713287777.320871,188363,-10.920001029968262
1713287796.1939204,189090,-2.539999008178711
1713287815.38126,189818,-9.75999927520752
1713287834.4488606,190545,-13.819999694824219
1713287853.6918387,191272,-11.139999389648438
1713287872.9211607,192000,2.899998664855957
1713287892.0937011,192727,-15.780000686645508
1713287986.1117582,196363,-12.75999927520752
1713288005.1963618,197090,-13.100000381469727
1713288042.9846768,198545,-6.380001068115234
1713288062.2495751,199272,-3.660000801086426
1713288139.2520375,202181,-17.960000038146973
1713288174.5459743,203636,-9.90000057220459
1713288193.375017,204363,-18.31999969482422
1713288212.3221412,205090,-20.799997329711914
1713288269.6288815,207272,-17.53999900817871
1713288288.1969457,208000,-2.5799989700317383
1713288307.0660949,208727,-19.37999725341797
1713288325.8520083,209454,-18.399999618530273
1713288354.5914178,210181,-18.920001983642578
1713288378.4683301,210909,-17.25999927520752
1713288409.404502,211636,-22.139997482299805
1713288442.1603448,212363,-21.220001220703125
